id;calle;altura;piso;departamento
1;virtual Finland Generic;63751;74956;cross-platform Lead
2;New Hampshire Station transmitting;11588;26638;North Dakota
3;SSL Lakes;90266;80562;primary calculating Palestinian Territory
4;primary moderator;19827;50953;Quality Cove hack
5;deposit Burundi Franc;18143;157;Tuna
6;overriding;28124;66444;Tennessee Central
7;magenta seamless index;73517;13011;Buckinghamshire
8;Rubber Saint Kitts and Nevis navigate;9711;70051;Internal Buckinghamshire Tajikistan
9;Shirt violet;73004;22436;JSON
10;Fresh web-enabled;2399;56382;International bus payment
